Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2016-08-19,186.1552734375,186.3341599500134,185.47383319350868,185.95936001723447,75443000
2016-08-22,186.14675903320312,186.37675226307763,185.5504923239354,185.91676580332864,61368800
2016-08-23,186.5215606689453,187.05820721101114,186.46192749865375,186.76006735483244,53399200
2016-08-24,185.56748962402344,186.47040943327224,185.15009652454734,186.37670947206888,71728900
2016-08-25,185.43975830078125,185.85715150928922,185.03089154401502,185.1842117036874,69224800
2016-08-26,185.09051513671875,186.64933511037958,184.20463498108924,185.62716170076396,122506300
2016-08-29,186.00193786621094,186.26599788851843,185.18419144450021,185.21827125245898,70502200
2016-08-30,185.6952667236328,186.19783336276384,185.14159337511722,185.9167334635116,58114500
2016-08-31,185.1671600341797,185.48232676312082,184.3920068924529,185.3630734334427,85269500
2016-09-01,185.1756591796875,185.46527252972356,184.0171927819061,185.15861927743916,97844200
2016-09-02,186.0104217529297,186.43632830124716,185.43970853790063,186.02746165420058,79293900
2016-09-06,186.5726318359375,186.64929189944218,185.57601201746544,186.29153193878327,56702100
2016-09-07,186.5556182861328,186.7345047905499,185.95083814731663,186.41081159095657,76554900
2016-09-08,186.12966918945312,186.49595556821146,185.82301596444177,186.2233691470298,74102900
2016-09-09,181.6747283935547,184.86902807179513,181.64917503593986,184.81792135656548,221589100
2016-09-12,184.28126525878906,184.68161850409962,180.8484590897426,180.91660570571437,168110900
2016-09-13,181.63214111328125,183.26762104268442,181.01032106144442,183.00356100687588,182828800
2016-09-14,181.56396484375,182.88427780483661,181.0102915040864,181.6832181629531,134185500
2016-09-15,183.37835693359375,183.76167029972945,181.2232704331191,181.40215693605646,134427900
2016-09-16,182.6695098876953,182.94347334278845,181.98462737655555,182.76368319247152,155236400
2016-09-19,182.70375061035156,183.96224239525162,182.37842229326847,183.32015528309017,80250500
2016-09-20,182.7123260498047,183.7139804812361,182.67808714811602,183.55988582869148,69665300
2016-09-21,184.7670135498047,184.94679064511112,182.7294527143507,183.4143483203543,110284400
2016-09-22,185.9312744140625,186.23092025195749,185.52891189540338,185.77717979797526,76678700
2016-09-23,184.9125518798828,185.67449481300912,184.81837857069652,185.53751307904778,73630900
2016-09-26,183.41436767578125,184.26191448397475,183.21745151384062,184.0821373696967,89827300
2016-09-27,184.5529327392578,184.6470929586741,182.88349608546716,183.25163275907568,78494800
2016-09-28,185.468994140625,185.623101833831,183.81669631342595,184.77554217943597,87411000
2016-09-29,183.7909698486328,185.66586590978932,183.24305615132027,185.26349035952774,128070600
2016-09-30,185.17791748046875,185.87992589879707,184.37316624574723,184.62143417016583,117202900
2016-10-03,184.73268127441406,184.95526669769765,184.09915082820336,184.76693322463706,83512100
2016-10-04,183.7909698486328,185.06658734449323,183.20026080352932,184.844001895467,119948100
2016-10-05,184.6042938232422,185.0323518152725,184.34745641536537,184.4159472616854,72816000
2016-10-06,184.73268127441406,184.95526669769765,183.84232651798825,184.38167063273147,62927400
2016-10-07,184.09921264648438,185.17792736477304,183.37152175103935,185.00670674603865,89788300
2016-10-10,185.0580291748047,185.52032604567063,184.91249102910072,185.0580291748047,51855000
2016-10-11,182.7208251953125,184.69846405905517,181.99313445883374,184.62997321386428,130367400
2016-10-12,182.96055603027344,183.48278731258375,182.36126437989276,182.85781322727746,73866100
2016-10-13,182.36129760742188,182.85784654528132,180.8202989779291,181.63360671311602,101357000
2016-10-14,182.45542907714844,183.79953740371388,182.3783817759969,183.33722747021903,93346200
2016-10-17,181.8218994140625,182.6865717721407,181.6421093268266,182.42973438892884,58275700
2016-10-18,182.96055603027344,183.47421779207957,182.5838629003062,183.41429646501757,76869700
2016-10-19,183.4485321044922,183.75673438142863,182.86637950544184,183.2259466513188,66519200
2016-10-20,183.1060791015625,183.66254923017698,182.4468661784142,183.09750958176414,73639800
2016-10-21,183.1917266845703,183.27734352328338,182.14726395608955,183.10612290915276,89089100
2016-10-24,183.9707489013672,184.3388855386287,183.61973824016934,184.06492217477899,60146600
2016-10-25,183.35435485839844,184.04780670068533,183.19169073474242,183.79096929824388,66542300
2016-10-26,182.98626708984375,183.56841979028252,182.29280204849215,182.53252658412072,75705500
2016-10-27,182.49819946289062,183.73956473264667,182.4211521777925,183.7053258492553,77220200
2016-10-28,181.9589080810547,183.14890892401726,181.24834322181863,182.47258296054287,140623200
2016-10-31,181.96746826171875,182.51538200884306,181.80480412278754,182.292783476287,61272500
2016-11-01,180.6490478515625,182.34416708158656,179.44193411679908,182.2927891440418,122781800
2016-11-02,179.56175231933594,180.72607045776593,179.12512485286732,180.34080785481316,103330800
2016-11-03,178.73989868164062,179.989833798208,178.4659483526424,179.77580479671514,88939300
2016-11-04,178.54298400878906,179.69017624675064,178.39744586486492,178.85118627336155,109122100
2016-11-07,182.48110961914062,182.51536157260367,178.54298408491587,178.54298408491587,109794900
2016-11-08,183.30299377441406,183.86803345879056,181.82191678048162,182.08731064527544,106772100
2016-11-09,185.24642944335938,185.86283415876895,181.78771264430597,181.81339508550664,258429000
2016-11-10,185.7086944580078,186.8986952607369,184.2532997663908,186.03402274157074,172113300
2016-11-11,185.28067016601562,185.52038166177718,184.33895016503715,184.98959378734756,100552700
2016-11-14,185.42616271972656,186.00832839708144,184.68134597429705,185.80285585272793,94580000
2016-11-15,186.8730010986328,186.8730010986328,185.6059530650747,185.81141254639604,91652600
2016-11-16,186.52200317382812,186.7531581694383,186.1367535566741,186.25660928341745,65617700
2016-11-17,187.48086547851562,187.54078681133552,186.56481500049895,186.67611427140054,69797200
2016-11-18,187.0613555908203,187.720568602341,186.88156547375317,187.54934800622104,86265800
2016-11-21,188.4739227294922,188.49960516314167,187.48939460414826,187.63493274925955,72402600
2016-11-22,188.84205627441406,189.0218333070001,188.11435249754751,188.78212188802365,67429000
2016-11-23,188.94479370117188,188.9961585697166,188.13148613486294,188.3283891520488,56620200
2016-11-25,189.64678955078125,189.68102843743884,189.21016210032596,189.28722245606542,37872300
2016-11-28,188.75648498535156,189.61260113485753,188.65375522766547,189.3386507599294,76572500
2016-11-29,189.1245880126953,189.5783284459944,188.49105747219588,188.79070329643193,69886700
2016-11-30,188.67086791992188,189.90367717850862,188.61093352329578,189.74101303143192,113291800
2016-12-01,187.97740173339844,188.97048639352258,187.6178215074796,188.97048639352258,79040500
2016-12-02,188.07156372070312,188.55955612953525,187.71199655470292,188.06300726316525,74840300
2016-12-05,189.20164489746094,189.5440860882473,188.70509602651484,188.9019990580523,67837800
2016-12-06,189.80093383789062,189.83518579680896,188.91057885543555,189.39000177393402,59877400
2016-12-07,192.28367614746094,192.34359747994642,189.52698133405676,189.6468370623224,110738100
2016-12-08,192.75454711914062,193.22541361716267,191.9926042635398,192.25801124482192,99714400
2016-12-09,193.9187469482422,193.93587291858924,192.9427756510652,192.97702759175934,88005800
2016-12-12,193.69622802734375,194.3040760819301,193.276726521317,193.82464019077423,102016100
2016-12-13,194.989013671875,195.48556261678567,194.33837008714514,194.35549606822372,110477500
2016-12-14,193.3795166015625,195.3913816792487,192.94288901254768,194.68937324201593,142501800
2016-12-15,194.17567443847656,195.0317904674374,193.3880492594279,193.6192042449696,124972600
2016-12-16,193.7958984375,194.69151431182837,193.47727268966827,194.63122666208193,156420200
2016-12-19,194.2178955078125,194.63986968501598,193.830375174617,193.97677116092234,90341100
2016-12-20,194.96705627441406,195.11346536640215,194.51926153049286,194.75176579127523,89838800
2016-12-21,194.42457580566406,195.01015974080977,194.42457580566406,194.83792994460757,67909000
2016-12-22,194.08872985839844,194.39874875846775,193.69258948708537,194.27818658290144,56219100
2016-12-23,194.37286376953125,194.38147065827292,193.9422828072615,194.13172634159508,36697800
2016-12-27,194.85513305664062,195.25126022547312,194.62261563301922,194.63984255262181,42672500
2016-12-28,193.24472045898438,195.1306670770991,193.13277835007074,195.11345330052006,64095000
2016-12-29,193.20172119140625,193.66674294079067,192.7625201133474,193.31366332831337,48696100
2016-12-30,192.49551391601562,193.6150269876709,191.80658178420566,193.52890554358686,108998300
2017-01-03,193.96815490722656,194.476237389342,192.79697393302524,193.79591197608372,91366500
2017-01-04,195.12208557128906,195.26848153297962,194.2867573884805,194.29536427788966,78744400
2017-01-05,194.96705627441406,195.12207225522394,194.17478887329776,194.8551141585779,78379000
2017-01-06,195.6646270751953,196.12964878124782,194.53649379847863,195.07903007244784,71559900
2017-01-09,195.01881408691406,195.54412359895238,194.9843602374365,195.40633448162907,46939700
2017-01-10,195.01881408691406,195.8713563272284,194.63128055190558,195.03602787135938,63771900
2017-01-11,195.56993103027344,195.56993103027344,194.2695677639523,194.93266630385088,74650000
2017-01-12,195.07904052734375,195.26849723189008,193.7270229252161,195.05320671675017,72113200
2017-01-13,195.52688598632812,195.82828488116763,195.21686705944367,195.25130776674516,62717900
2017-01-17,194.8379364013672,195.29435128955922,194.45041606199737,194.88960402791093,61240800
2017-01-18,195.2685089111328,195.31156964479436,194.53651585975967,195.08765908587074,54793300
2017-01-19,194.54510498046875,195.4837683798126,194.114523992848,195.3459793101046,66608800
2017-01-20,195.25987243652344,195.7507279330802,194.59677403141717,195.22541859869793,129168600
2017-01-23,194.7517852783203,195.32015536434764,193.9939716372401,195.25988085598757,75061600
2017-01-24,196.00051879882812,196.41387296884554,194.85517151455983,194.96711366334637,95555300
2017-01-25,197.69700622558594,197.69700622558594,196.78416328499497,196.94778620019798,84437700
2017-01-26,197.49026489257812,197.81751062740526,197.21468677055776,197.55053939409,59970700
2017-01-27,197.18026733398438,197.71418357760163,196.99941752937463,197.56778761210302,59711100
2017-01-30,195.95741271972656,196.51716275501758,194.97568858040952,196.49132894663734,79737300
2017-01-31,195.94015502929688,196.00044266624235,194.89815654749623,195.46651338289337,75880800
2017-02-01,196.01773071289062,196.85305907660958,195.43214673930603,195.94022927055596,79117700
2017-02-02,196.1468963623047,196.43108143382898,195.32879499049955,196.01771416236227,69657600
2017-02-03,197.49888610839844,197.67973590662965,196.74107249844477,197.05109133806323,80563200
2017-02-06,197.14584350585938,197.49031624796152,196.809990794992,197.09417587961693,57790100
2017-02-07,197.15443420410156,197.77447190734355,196.96497750920597,197.53334759389273,57931200
2017-02-08,197.4127960205078,197.54196507382068,196.61190846909716,197.1544447735918,51566200
2017-02-09,198.583984375,198.8853832240936,197.4128034001183,197.4128034001183,65955200
2017-02-10,199.36761474609375,199.59152528133336,198.60118107303498,198.92842684589928,66015900
2017-02-13,200.4526824951172,200.7110337232728,199.8326448036595,199.8584786124461,55182100
2017-02-14,201.2535858154297,201.26220584645884,199.92740192577156,200.27186151936579,71109000
