Date,5-Day Returns,20-Day Returns,20-Day Volatility,Volume Ratio,Tommorrow Up
2016-01-04,-0.022656802734258075,-0.0165049172146301,0.011616652340289932,1.602714141241114,True
2016-01-05,-0.01876143996964541,-0.03368781574835811,0.010620887668911758,0.823323159193949,False
2016-01-06,-0.04136935640657302,-0.04006092610830547,0.010862242423355397,1.1092060744018741,False
2016-01-07,-0.057689687873810125,-0.056753303024904334,0.011895836622227957,1.4963307888094228,False
2016-01-08,-0.05861548936070482,-0.05979217325551367,0.01198669076850235,1.4469110447120581,True
2016-01-11,-0.04432408837752422,-0.06128454205734102,0.0119528610184253,1.264737319664386,True
2016-01-12,-0.038239874045326694,-0.035008075838294905,0.011552918083059508,1.1750427854999472,False
2016-01-13,-0.050246619507547496,-0.0638056201192495,0.012533092161494461,1.4883696359509306,True
2016-01-14,-0.010925075946309204,-0.058322300443822805,0.012937309645175666,1.574502531804486,False
2016-01-15,-0.02141543114772393,-0.09182459513758123,0.01287761988547824,2.0388804404457357,True
2016-01-19,-0.021081562027637668,-0.07654372864653347,0.012697403025755543,1.2169805096461639,False
2016-01-20,-0.04136126109513938,-0.07184273974809152,0.012455864299280665,1.7667286223578866,True
2016-01-21,-0.011332905587299935,-0.07427985455918751,0.01233628079235487,1.1721165757651648,True
2016-01-22,-0.007346577195688764,-0.06378400195170386,0.013198776061740875,0.990757654757102,False
2016-01-25,-0.0009048220490938119,-0.08921452412656594,0.012918558829483041,0.7630367506822365,True
2016-01-26,0.011379017635441802,-0.07526311250655582,0.01353891130089567,0.8037023802729669,False
2016-01-27,0.013358506988789598,-0.08323195586095555,0.013623938272397117,1.0231921335055132,True
2016-01-28,0.012962704074341636,-0.08818718649612112,0.013361314642665944,0.7813841656774304,True
2016-01-29,0.016796320625006578,-0.059292198734901436,0.014816324015367316,1.0999932912360135,False
2016-02-01,0.03202907389886045,-0.05012992332796906,0.014731257944118718,0.7069948460806506,False
2016-02-02,-0.00020982668315971953,-0.05402436359501184,0.014924038730896184,0.9585411873531509,True
2016-02-03,0.016849898396295027,-0.049960396473901936,0.015020888752937459,1.0506387582417835,True
2016-02-04,0.013167308117287835,-0.03631399649228795,0.01484969959458382,0.7172300196856617,False
2016-02-05,-0.029785230656711792,-0.031435196369127505,0.014496969688955847,0.9371628937025731,False
2016-02-08,-0.04249917517891377,-0.0338683379560869,0.014592813805811867,0.9975572629375883,True
2016-02-09,-0.024874010942592673,-0.03477170779834271,0.014585502977188367,0.961886030228133,False
2016-02-10,-0.03152084843779468,-0.04332325250006008,0.014407392788479237,0.7775432458759963,False
2016-02-11,-0.045616341006369576,-0.031615793068558884,0.013638915405564072,1.1498372302378477,True
2016-02-12,-0.007022964629215034,-0.027614001847182545,0.01395819360996902,0.6904467536021041,True
2016-02-16,0.023514289850271153,0.010489633142796162,0.013673980436353185,0.6886223978671556,True
2016-02-17,0.040176942605901544,0.02563009843663977,0.014119875498270077,0.7923040032878319,False
2016-02-18,0.03681108714084047,0.03468910483515919,0.013789893453350898,0.6299851523241778,False
2016-02-19,0.04998369318038409,0.02844287198153017,0.013768517391532582,0.7246847997058661,True
2016-02-22,0.04366920132916552,0.022360165956813338,0.013390596863140276,0.6679142225071426,False
2016-02-23,0.013383373358550443,0.02494078219683793,0.013241967601474966,0.722683341864741,True
2016-02-24,0.0016589488650760043,0.015773066685013326,0.012949719712184582,0.9747867059027513,True
2016-02-25,0.01795997399440319,0.03938743000254186,0.012872581689005767,0.7334682848260119,False
2016-02-26,0.016093698727400296,0.0316217147170017,0.01288394279951224,0.8640194693316102,False
2016-02-29,-0.0062635875069830815,-0.0008259245379658164,0.011864879032547977,0.8622369442606624,True
2016-03-01,0.030106239490206965,0.023031154403703402,0.012972586682719658,0.9690839359338485,True
2016-03-02,0.030020627805127154,0.04648679270712108,0.01216689268211813,0.7196312149130157,True
2016-03-03,0.021683567803692627,0.04432823319361301,0.012142954612453419,0.6955922927933678,True
2016-03-04,0.027372119718511723,0.046085260849887844,0.012143892289030995,0.9485268146874579,True
2016-03-07,0.036319383463198296,0.0672518029756477,0.011068496504917777,0.75761951185291,False
2016-03-08,0.001464044305224066,0.07000316948114715,0.010878566467271,0.9617625850585534,True
2016-03-09,0.0019095251608021169,0.07523037775020902,0.010853237785124,0.7619557114026394,True
2016-03-10,-0.0012010356248347565,0.07702262469873111,0.01082282295585876,1.2562222423264302,True
2016-03-11,0.011624820941437797,0.10882641873042376,0.010398292469427747,1.142139727661211,False
2016-03-14,0.00952220428039019,0.08503455194196108,0.009830169392719175,0.6233353002735242,False
2016-03-15,0.019002015374942616,0.06528594370516227,0.009430368739929529,0.7980929189748831,True
2016-03-16,0.019861699592633286,0.05423052135604589,0.008939899814396137,1.1108107214206342,True
2016-03-17,0.025508591286288906,0.06528177441086958,0.00882741112224604,1.1379425408020474,True
2016-03-18,0.013188518438940644,0.06996918494659798,0.008785795183869223,1.1610361612817979,True
2016-03-21,0.015928303418047074,0.056194156252288296,0.00839762456126439,0.6198908804978119,False
2016-03-22,0.017040334817453928,0.06913020417090321,0.007630721299341541,0.8334832254188702,False
2016-03-23,0.004515041787167995,0.057236514896771506,0.007941044512567837,0.7143879554292074,False
2016-03-24,-0.0022596967152317404,0.044122153952470544,0.00765881135087207,0.7522894153847964,True
2016-03-28,-0.005577527920017422,0.04714890297676444,0.007596626059656436,0.5737755672954675,True
2016-03-29,0.002199363566701029,0.06518901581092096,0.007348997628942308,0.8674828300099923,True
2016-03-30,0.007137444843336116,0.045291272642324465,0.005602892621892302,0.8276808719364641,False
2016-03-31,0.011367790969460279,0.03809082045461154,0.005669213560580183,0.9098597762734671,True
2016-04-01,0.018708389086409483,0.04108163327799108,0.005759976881115762,1.0906081088454982,False
2016-04-04,0.014809788410837132,0.034344748381576196,0.00586930997174597,0.6248024337942576,False
2016-04-05,-0.004534094768637864,0.023197447415473915,0.006426234926431521,0.9809321375989258,True
2016-04-06,0.0019413619879713462,0.04578947925382604,0.006112550700957766,0.9184647723889526,False
2016-04-07,-0.007639514113059409,0.028196943048101053,0.006847107829715582,1.1279241238995807,True
2016-04-08,-0.011695409240554233,0.030142995960803276,0.0068513125265691486,0.9712319816987695,False
2016-04-11,-0.010812084034348524,0.01140393638168491,0.005963264580298606,0.8803108800938437,True
2016-04-12,0.008472445636036996,0.02213346847499076,0.006252354957857575,1.1863404026409126,True
2016-04-13,0.007654184560887289,0.03414333734376829,0.0065256989993142675,0.9891749373091835,True
2016-04-14,0.019907051514374885,0.028242665627264962,0.00646240588508674,0.6923831525326788,False
2016-04-15,0.016039133453405796,0.020630744435094384,0.006377389865461066,0.8301704026833135,True
2016-04-18,0.025585821195534875,0.023779403118964648,0.006487869751153672,0.9328885634990097,True
2016-04-19,0.01932800187479855,0.02555393187154853,0.006502600148626145,0.9896725262977418,True
2016-04-20,0.01009643066053667,0.027082661406743203,0.006489180785278022,0.917225821745342,False
2016-04-21,0.004615058596952215,0.02834504493152834,0.006415713856154602,0.9666530909971992,False
2016-04-22,0.005727177431487318,0.02880085571479163,0.006409711559296775,1.1102503322723773,False
2016-04-25,-0.0030109444923588358,0.026421756166485233,0.006446620243757692,0.7385997675916489,True
